Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
65,"Anders, PT Pyl, W Huber",HTSeq—a Python framework to work with high-throughput sequencing data,19752,2015, academic.oup.com, bioinformatics,https://academic.oup.com/bioinformatics/article-abstract/31/2/166/2366196,1975
53,"Van Rossum, FL Drake Jr",Python tutorial,2068,1995, dev.rbcafe.com,,https://dev.rbcafe.com/python/python-3.5.1-pdf/tutorial.pdf,69
86,Lutz,Learning python: Powerful object-oriented programming,1350,2013, books.google.com,,https://books.google.com/books?hl=en&lr=&id=ePyeNz2Eoy8C&oi=fnd&pg=PP1&dq=python+type+annotations&ots=MdvabG9dzg&sig=xW4vARIbimFyW3kx1e7RU4008X8,112
96," Ramos, L Lichtenstein, M Gupta…",Oncotator: cancer variant annotation tool,517,2015, Wiley Online Library, Human …,https://onlinelibrary.wiley.com/doi/abs/10.1002/humu.22771,52
36, Beazley,Python essential reference,364,2009, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Chr1NDlUcI8C&oi=fnd&pg=PR7&dq=python+type+annotations&ots=OFCBtjjYHn&sig=Q2Z86EA3CkPLpANCJXXSWk3EZr4,23
70,"Chapman, J Chang",Biopython: Python tools for computational biology,241,2000, dl.acm.org, ACM Sigbio Newsletter,https://dl.acm.org/doi/abs/10.1145/360262.360268,10
25," Hellendoorn, C Bird, ET Barr…",Deep learning type inference,236,2018, dl.acm.org, … of the 2018 26th acm joint …,https://dl.acm.org/doi/abs/10.1145/3236024.3236051,34
29,"Ancona, M Ancona, A Cuni…",RPython: a step towards reconciling dynamically and statically typed OO languages,213,2007, dl.acm.org, Proceedings of the 2007 …,https://dl.acm.org/doi/abs/10.1145/1297081.1297091,12
8," Vitousek, AM Kent, JG Siek, J Baker",Design and evaluation of gradual typing for Python,179,2014, dl.acm.org, Proceedings of the 10th ACM …,https://dl.acm.org/doi/abs/10.1145/2661088.2661101,16
77,"Tejedor, Y Becerra, G Alomar…",PyCOMPSs: Parallel computational workflows in Python,177,2017, journals.sagepub.com, … Journal of High …,https://journals.sagepub.com/doi/abs/10.1177/1094342015594678,22
64,Summerfield,Programming in Python 3: a complete introduction to the Python language,158,2010, books.google.com,,https://books.google.com/books?hl=en&lr=&id=H9emM_LGFDEC&oi=fnd&pg=PR9&dq=python+type+annotations&ots=Zd5PcGO8qW&sig=au2_IEg6I_nv_lRZQGCkxeUD8lI,11
74,"Nagpal, G Gabrani","Python for data analytics, scientific and technical applications",152,2019, ieeexplore.ieee.org, 2019 Amity international conference on …,https://ieeexplore.ieee.org/abstract/document/8701341/,25
21,"Allamanis, ET Barr, S Ducousso, Z Gao",Typilus: Neural type hints,143,2020, dl.acm.org, Proceedings of the 41st acm …,https://dl.acm.org/doi/abs/10.1145/3385412.3385997,29
41,"Pradel, G Gousios, J Liu, S Chandra",Typewriter: Neural type prediction with search-based validation,127,2020, dl.acm.org, … of the 28th ACM Joint Meeting …,https://dl.acm.org/doi/abs/10.1145/3368089.3409715,25
52,"Bhoopchand, T Rocktäschel, E Barr…",Learning python code suggestion with a sparse pointer network,118,2016, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1611.08307,13
16,"Zulkower, S Rosser",DNA Features Viewer: a sequence annotation formatting and plotting library for Python,107,2020, academic.oup.com, Bioinformatics,https://academic.oup.com/bioinformatics/article-pdf/doi/10.1093/bioinformatics/btaa213/50671711/btaa213.pdf,21
88,"Demangeon, K Honda, R Hu, R Neykova…",Practical interruptible conversations: distributed dynamic verification with multiparty session types and python,80,2015, Springer, Formal Methods in …,https://link.springer.com/article/10.1007/s10703-014-0218-8,8
85,Salib,Starkiller: A static type inferencer and compiler for Python,79,2004, dspace.mit.edu,,https://dspace.mit.edu/handle/1721.1/16688,4
75,"Van Rossum, FL Drake Jr",Python tutorial,71,2010, scicomp.ethz.ch, History,https://scicomp.ethz.ch/public/manual/Python/3.10.4/tutorial.pdf,5
69,Ceder,The quick Python book,70,2018, books.google.com,,https://books.google.com/books?hl=en&lr=&id=aTkzEAAAQBAJ&oi=fnd&pg=PT25&dq=python+type+annotations&ots=P1Otx6O3Af&sig=NoKCsVNzBzo_S-XfUPfrVc1p5vU,10
73,"Van Rossum, FL Drake Jr",The python language reference,67,2014, scicomp.ethz.ch, Python Software Foundation …,https://scicomp.ethz.ch/public/manual/Python/3.10.4/reference.pdf,6
23,Lutz,Python pocket reference,64,2014, books.google.com,,https://books.google.com/books?hl=en&lr=&id=5fujAgAAQBAJ&oi=fnd&pg=PP1&dq=python+type+annotations&ots=w2I9e7dHYF&sig=QIhoQKcP68Y9UXbbf9j_9iqT3X0,6
72,"Hu, R Neykova, N Yoshida, R Demangeon…",Practical interruptible conversations: Distributed dynamic verification with session types and python,60,2013, Springer, Runtime Verification: 4th …,https://link.springer.com/chapter/10.1007/978-3-642-40787-1_8,5
9," Mir, E Latoškinas, S Proksch…",Type4Py: Practical deep similarity learning-based type inference for Python,54,2022, dl.acm.org, Proceedings of the 44th …,https://dl.acm.org/doi/abs/10.1145/3510003.3510124,18
76,Slatkin,Effective python: 90 specific ways to write better python,52,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=9kG4DwAAQBAJ&oi=fnd&pg=PT15&dq=python+type+annotations&ots=8N4v1h8XcM&sig=0bCx_adU4KnPbPUEIIM-oMuKnYA,9
13,"Monat, A Ouadjaout, A Miné",Static type analysis by abstract interpretation of Python programs,50,2020, drops.dagstuhl.de, 34th European Conference on …,https://drops.dagstuhl.de/entities/document/10.4230/LIPIcs.ECOOP.2020.17,10
24,"Peng, C Gao, Z Li, B Gao, D Lo, Q Zhang…",Static inference meets deep learning: a hybrid type inference approach for python,50,2022, dl.acm.org, Proceedings of the 44th …,https://dl.acm.org/doi/abs/10.1145/3510003.3510038,17
55,Jea,Ontologies with python,43,2021, Springer, Apress  Berkeley  CA,https://link.springer.com/content/pdf/10.1007/978-1-4842-6552-9.pdf,11
61, Smith,Cython: A Guide for Python Programmers,42,2015, books.google.com,,https://books.google.com/books?hl=en&lr=&id=H3JmBgAAQBAJ&oi=fnd&pg=PR2&dq=python+type+annotations&ots=QK2LiXxhwW&sig=NMBmWp73dCaOFkIBt9Hrp5JH3q0,4
51,"Åkerblom, J Stendahl, M Tumlin…",Tracing dynamic features in python programs,40,2014, dl.acm.org, Proceedings of the 11th …,https://dl.acm.org/doi/abs/10.1145/2597073.2597103,4
26,"Jesse, PT Devanbu, T Ahmed",Learning type annotation: Is big data enough?,36,2021, dl.acm.org, Proceedings of the 29th ACM Joint …,https://dl.acm.org/doi/abs/10.1145/3468264.3473135,9
31,"Peng, Y Zhang, M Hu",An empirical study for common language features used in python projects,33,2021, ieeexplore.ieee.org, 2021 IEEE International Conference …,https://ieeexplore.ieee.org/abstract/document/9425916/,8
82,"Greenman, Z Migeed",On the cost of type-tag soundness,30,2017, dl.acm.org, Proceedings of the ACM SIGPLAN Workshop …,https://dl.acm.org/doi/abs/10.1145/3162066,4
4,Ra,Python 3 types in the wild: a tale of two type systems,29,2020, dl.acm.org, Proceedings of the 16th …,https://dl.acm.org/doi/abs/10.1145/3426422.3426981,6
84,"Åkerblom, T Wrigstad",Measuring polymorphism in Python programs,28,2015, dl.acm.org, Proceedings of the 11th Symposium on …,https://dl.acm.org/doi/abs/10.1145/2816707.2816717,3
28," Ore, S Elbaum, C Detweiler, L Karkazis",Assessing the type annotation burden,28,2018, dl.acm.org, Proceedings of the 33rd …,https://dl.acm.org/doi/abs/10.1145/3238147.3238173,4
7," Mir, E Latoškinas, G Gousios",Manytypes4py: A benchmark python dataset for machine learning-based type inference,28,2021, ieeexplore.ieee.org, 2021 IEEE/ACM 18th …,https://ieeexplore.ieee.org/abstract/document/9463150/,7
27,Barany,Python interpreter performance deconstructed,25,2014, dl.acm.org, Proceedings of the Workshop on Dynamic Languages …,https://dl.acm.org/doi/abs/10.1145/2617548.2617552,2
6,"Cui, G Zhao, Z Dai, L Wang, R Huang…",Pyinfer: Deep learning semantic type inference for python variables,24,2021, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2106.14316,6
5,"Khan, B Chen, D Varro…",An empirical study of type-related defects in python projects,23,2021, ieeexplore.ieee.org, IEEE Transactions on …,https://ieeexplore.ieee.org/abstract/document/9436020/,6
56, Li,GTFtools: a Python package for analyzing various modes of gene models,22,2018, biorxiv.org, bioRxiv,https://www.biorxiv.org/content/10.1101/263517.abstract,3
34,"Fritz, J Hage",Cost versus precision for approximate typing for Python,22,2017, dl.acm.org, Proceedings of the 2017 ACM SIGPLAN Workshop on …,https://dl.acm.org/doi/abs/10.1145/3018882.3018888,3
58,"Gulabovska, Z Porkoláb",Survey on Static Analysis Tools of Python Programs.,21,0,ws.org,,https://ceur-ws.org/Vol-2508/paper-gul.pdf,0
20,"Chen, Y Li, B Chen, W Ma, L Chen, B Xu",An empirical study on dynamic typing related practices in python systems,21,2020, dl.acm.org, Proceedings of the 28th …,https://dl.acm.org/doi/abs/10.1145/3387904.3389253,4
49,"Peng, C Wang, W Wang, C Gao…",Generative type inference for python,21,2023, ieeexplore.ieee.org, 2023 38th IEEE/ACM …,https://ieeexplore.ieee.org/abstract/document/10298512/,10
91,Unpingco,Python programming for data analysis,19,2021, Springer,,https://link.springer.com/content/pdf/10.1007/978-3-030-68952-0.pdf,5
60,"Bysiek, A Drozd, S Matsuoka",Migrating legacy Fortran to Python while retaining Fortran-level performance through transpilation and type hints,19,2016, ieeexplore.ieee.org, 2016 6th Workshop on Python …,https://ieeexplore.ieee.org/abstract/document/7836839/,2
32," Bridge, C Gorman, S Pieper, SW Doyle…",Highdicom: A python library for standardized encoding of image annotations and machine learning model outputs in pathology and radiology,17,2022, Springer, Journal of digital …,https://link.springer.com/article/10.1007/s10278-022-00683-y,6
48,"Zhang, L Xu, X Zhang, B Xu",Quantifying the interpretation overhead of Python,17,2022, Elsevier, Science of Computer Programming,https://www.sciencedirect.com/science/article/pii/S0167642321001520,6
59,"Peng, S Gao, C Gao, Y Huo, M Lyu",Domain knowledge matters: Improving prompts with fix templates for repairing python type errors,16,2024, dl.acm.org, Proceedings of the 46th IEEE …,https://dl.acm.org/doi/abs/10.1145/3597503.3608132,16
92,"Mukherjee, O Tripp, B Liblit, M Wilson",Static analysis for AWS best practices in Python code,15,2022, arxiv.org, arXiv preprint arXiv:2205.04432,https://arxiv.org/abs/2205.04432,5
2,"Di Grazia, M Pradel",The evolution of type annotations in python: an empirical study,14,2022, dl.acm.org, Proceedings of the 30th ACM Joint European …,https://dl.acm.org/doi/abs/10.1145/3540250.3549114,5
90,"Chen, B Xu, T Zhou, X Zhou",A constraint based bug checking approach for Python,14,2009, ieeexplore.ieee.org, 2009 33rd Annual IEEE …,https://ieeexplore.ieee.org/abstract/document/5254110/,1
33,"Oh, H Oh",PyTER: effective program repair for Python type errors,14,2022, dl.acm.org, Proceedings of the 30th ACM Joint European Software …,https://dl.acm.org/doi/abs/10.1145/3540250.3549130,5
18,"Boone, N de Bruin, A Langerak…",Dltpy: Deep learning type inference of python function signatures using natural language context,13,2019, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/1912.00680,2
83,"Manz, S L'Yi, N Gehlenborg",Gos: a declarative library for interactive genomics visualization in Python,13,2023, academic.oup.com, Bioinformatics,https://academic.oup.com/bioinformatics/article-abstract/39/1/btad050/6998203,6
99,"Schoofs, M Abdi, S Demeyer",Ampyfier: Test amplification in python,13,2022, Wiley Online Library, Journal of Software: Evolution …,https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.2490,4
68,"Lopez, G Charbonnier, Y Kermezli…","Explore, edit and leverage genomic annotations using Python GTF toolkit",12,2019, academic.oup.com, …,https://academic.oup.com/bioinformatics/article-abstract/35/18/3487/5320559,2
79,Siebinga,TraViA: a Traffic data Visualization and Annotation tool in Python,12,2021, joss.theoj.org, Journal of Open Source Software,https://joss.theoj.org/papers/10.21105/joss.03607.pdf,3
80," Wagner, S Kiwala, AC Coffman…",CIViCpy: a python software development and analysis toolkit for the CIViC knowledgebase,12,2020, ascopubs.org, JCO Clinical Cancer …,https://ascopubs.org/doi/abs/10.1200/cci.19.00127,2
1,"Jin, D Zhong, Z Ding, M Fan…",Where to start: Studying type annotation practices in python,12,2021, ieeexplore.ieee.org, 2021 36th IEEE/ACM …,https://ieeexplore.ieee.org/abstract/document/9678947/,3
40,"Ollenschläger, A Küderle, W Mehringer, AK Seifer…",MaD GUI: An open-source Python package for annotation and analysis of time-series data,12,2022, mdpi.com, Sensors,https://www.mdpi.com/1424-8220/22/15/5849,4
57," Lu, B Greenman, C Meyer, D Viehland…",Gradual soundness: Lessons from static python,11,2022, arxiv.org, arXiv preprint arXiv …,https://arxiv.org/abs/2206.13831,4
22,"Hu, Y Zhang, W Huang…",Static type inference for foreign functions of python,11,2021, ieeexplore.ieee.org, 2021 IEEE 32nd …,https://ieeexplore.ieee.org/abstract/document/9700268/,3
94,"Ramu, C Gemünd, TJ Gibson",Object-oriented parsing of biological databases with Python,11,2000, academic.oup.com, Bioinformatics,https://academic.oup.com/bioinformatics/article-abstract/16/7/628/227928,0
95,Gautier,An intuitive Python interface for Bioconductor libraries demonstrates the utility of language translators,10,2010, Springer, BMC bioinformatics,https://link.springer.com/article/10.1186/1471-2105-11-S12-S11,1
46,"Xia, X He, Y Yan, L Xu, B Xu",An empirical study of dynamic types for python projects,9,2018, Springer, …   November 23–24  2018  Proceedings 8,https://link.springer.com/chapter/10.1007/978-3-030-04272-1_6,1
81,"Filgueira, D Garijo",Inspect4py: A knowledge extraction framework for python code repositories,8,2022, dl.acm.org, Proceedings of the 19th International Conference …,https://dl.acm.org/doi/abs/10.1145/3524842.3528497,3
12," Chow, L Di Grazia, M Pradel",Pyty: Repairing static type errors in python,7,2024, dl.acm.org, Proceedings of the IEEE/ACM 46th …,https://dl.acm.org/doi/abs/10.1145/3597503.3639184,7
93,"Yang, A Milanova, M Hirzel",Complex Python features in the wild,7,2022, dl.acm.org, … of the 19th International Conference on …,https://dl.acm.org/doi/abs/10.1145/3524842.3528467,2
78,"Yan, Y Feng, H Fan, B Xu",DLInfer: Deep learning with static slicing for Python type inference,7,2023, ieeexplore.ieee.org, 2023 IEEE/ACM 45th …,https://ieeexplore.ieee.org/abstract/document/10172544/,4
